,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19
0,420779,577095,1111489,448351,732277,220595,551453,765036,42856,88331,1038231,490421,434733,1257879,548798,943410,1328927,1038432,639772,848354
1,23575,327998,159591,48451,1157116,463705,797602,1184434,668763,1309291,744779,1122058,1460762,1169998,362067,214443,1432590,89845,1156928,59802
2,1252909,767574,538863,77913,1349363,469015,1371143,565755,1212682,1364306,1326955,678747,186270,448252,1180330,1228755,876196,1358863,660860,712017
3,838994,1007532,506284,486334,402416,1113598,972524,951022,757120,973374,42226,313628,872239,362257,1415373,298810,597749,480150,536268,131719
4,516431,720370,1104398,788492,836184,603336,708214,464378,1026106,232661,564884,1331962,953180,13892,135794,1164963,1107280,1048611,4837,1202983
5,79878,755669,1424329,257543,288327,271331,916688,840339,561507,1282390,253468,651164,592115,146061,1333818,107130,727172,887938,1248098,671082
6,1427142,51123,1263979,1109466,1226434,86695,1240487,244636,1471183,708048,812979,1299794,792086,537711,618189,117462,1073364,1426002,737065,446160
7,586928,654812,996543,17112,779569,1068733,162087,1095885,158410,715929,233249,1000147,1032542,687639,792130,123484,1186617,238800,1322578,683909
8,148744,1145627,924766,901793,977777,885006,539735,968506,738602,1224048,834794,1168580,1047869,1267389,27278,1026059,312682,169906,676322,902849
9,1467728,19526,1220882,1129298,1227824,1393008,439875,2141,912476,361799,554042,1252562,1064193,424306,654794,1321730,82662,1327392,133753,1114669
10,9253,369177,404167,1277350,690576,609377,416736,776574,641419,100464,405344,1415924,924239,1389567,1059123,597050,865822,884891,1227511,1084658
11,998778,1175549,115788,874569,610113,1466736,1468654,1456577,638944,1043615,942455,419970,1155183,1218497,10430,1032963,1105795,1217841,123603,674722
12,159377,1293157,1404487,925647,533511,1375100,814327,1085411,273309,1255814,982130,999118,760067,1081341,820940,481943,593006,64176,576469,270371
13,1225722,1422571,498109,1009032,400006,554765,342602,1446558,185625,570683,313885,976648,709545,136342,1407736,1063152,975422,448010,1048920,179737
14,785678,859559,543262,1294440,702273,258483,544152,560665,1455203,374660,137292,1358434,940367,640327,762977,1189558,994703,371156,430981,553354
15,518712,126539,473964,1305035,679686,1421088,1420990,1108289,413016,606174,392690,335002,804725,1048137,227285,595539,191484,701819,77307,402252
16,315363,1471456,1092864,591501,1286012,997688,1237209,1187017,345335,845416,1280959,1377330,841269,681503,654145,1101862,305718,849874,1061096,732669
17,277712,1039984,144492,58677,489623,524990,1382592,76295,1115323,1412971,251072,1041555,717625,899406,574762,1470019,49439,412465,296861,633122
18,1263949,924032,431043,1054974,798383,284975,862783,665509,1003006,511741,1427679,771991,1291053,1068097,121004,323468,235622,548511,319378,183095
19,141443,579504,1391635,1353468,1171638,782254,78417,1328707,1321745,214280,1032556,245795,750031,639149,1099553,1132424,1342621,1315196,625814,989532
20,408598,1027123,1317525,794401,382399,623118,89867,197385,168502,493714,865686,722957,183884,945638,552655,322640,233701,1415527,86877,284770
21,287206,1325853,1415348,1060974,1267817,1252383,482392,198182,1369419,1446,156555,1119209,446510,114996,445249,1194818,1143168,1294142,801014,1061494
22,41989,1133031,878504,1259237,1235477,1146959,833469,174133,503311,1434204,534130,1454911,1067469,785437,1109182,640960,743948,1460933,120288,1402328
23,1346153,1385394,40180,255384,1402853,190529,921928,1385643,1252304,1451122,365486,1025611,1171655,1330988,498358,522805,218481,436982,265638,261197
24,173545,301050,462701,1049804,1273663,744349,332119,1242987,46630,985825,647619,852334,984317,97426,182706,559254,1086179,119239,693978,1108809
25,1378715,84005,376055,363924,434190,1150023,854949,372334,9055,357386,695482,407016,1436196,205550,515439,1146479,34547,1405743,1103356,272806
26,622767,883245,89084,55404,504851,116880,590826,135174,591507,1326513,1037731,794293,1189908,93872,965677,877062,549855,1093947,549371,1171961
27,982716,1102663,1443694,522172,1018273,980202,28950,1226690,1298426,185669,122530,1376013,1134943,961217,689628,700036,150732,519185,1293979,450246
28,1390817,489847,174675,110476,584051,914720,970703,424940,1292676,839700,217655,1418158,1110234,666594,333547,33099,1020343,416027,486942,877025
29,100072,674612,920872,624219,48030,546,1090750,298174,295252,462442,104932,106177,234574,562743,650744,971894,202837,743503,336644,487930
30,1044321,1277775,563837,1118868,787448,143127,1259537,828449,304604,1178991,1120119,1180802,1320931,1230363,117337,297469,1089296,204185,1245813,75065
31,1340180,823759,1076518,976838,768165,1413970,566724,52974,1324379,287541,113617,289620,893589,629219,1457215,528430,635880,536971,438171,1331920
32,287857,1397214,918558,377972,709285,1407176,978711,1440595,1365921,45513,881401,153879,1139815,146075,103022,248450,2109,440884,610861,1302989
33,745230,781169,248609,1092915,49872,1167627,1459703,1189965,553921,1073472,315594,968611,1206641,1200280,941665,1082686,506005,5264,1195860,1463720
34,796344,1451201,1347297,921143,775052,1329601,941575,1150093,1416401,1145087,1088476,543968,497030,316282,759956,1379988,1369329,82163,731375,100715
35,1224024,1032285,296561,1453643,695250,825460,259477,727550,1299192,440865,209959,1008653,559514,1128086,671382,178783,927002,1199063,855120,610011
36,1095593,591773,1138969,35434,1015783,895755,1292503,1012605,461934,1053634,1095380,1064369,439123,570688,335416,998428,1254427,739534,231025,950973
37,849433,214272,1242552,400893,298149,131594,443702,690878,584930,1385349,1333689,1340034,325826,693580,1004021,394441,1256155,991595,1300801,950655
