,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14
0,770770,276241,1262725,773863,1236189,1348718,941005,1050800,238307,377862,198113,913137,656096,1129118,594478
1,228333,319748,100874,1453736,586272,993244,713902,712056,274971,624917,1238922,410374,206618,339687,1414851
2,6025,150157,463748,307093,539867,1306807,1461055,923193,215369,1035197,1327378,278498,2501,1051361,903401
3,178313,232236,543140,481726,1445006,713447,250128,1186309,816959,1051386,689220,1244442,408567,332713,1466853
4,592470,114891,765047,1278483,978287,1374172,1429214,608765,1024378,787101,1412341,250328,1246143,576947,403163
5,1258772,1393812,175531,142792,306516,765426,805930,413057,254348,296035,1161169,1356916,764553,837979,343164
6,823076,752304,994488,830810,1094177,125295,1230863,209826,633657,209483,388529,445556,607604,193390,370327
7,393815,535486,952752,781053,842599,646275,1425605,83506,523326,953133,1200325,776571,1401318,260232,1071139
8,1130749,1274744,236510,96755,1177886,504214,1254108,290384,148471,175138,47481,986075,641252,368177,521261
9,475391,973525,1312333,688750,1371097,1135835,717151,675474,226586,148294,290919,191395,576744,1254460,267307
10,1400954,355472,403603,487960,1293859,878427,10740,295658,1431931,793594,1245087,801158,584569,352905,813238
11,637168,179706,187083,1073745,1292316,616220,595350,200511,255648,1257193,798083,421031,1252970,1245392,980965
12,1213861,689254,614389,1321645,1362602,346301,409822,1396308,330551,1013661,324455,338040,448422,1209777,927985
13,993547,896257,1390911,1427621,1254217,482869,1049380,1451021,699593,1183300,863601,45920,1341797,800914,1386011
14,970495,706134,44426,456983,508035,435986,525177,962859,1367197,848664,1442150,571243,1002464,1144194,422949
15,250476,1187838,103517,546766,293399,1259367,383708,1165571,392555,893963,676388,408140,258246,1229375,231536
16,336683,1365800,586974,1109176,1296167,1430683,806399,777556,822725,1061124,1179835,160370,1222876,868884,165841
17,582371,144369,317398,1182930,1093792,1460881,41008,1338079,1149961,346312,348884,1228266,641474,542520,432482
18,1167803,785461,324105,905810,275979,1406311,393707,1106132,1417570,1160791,164896,1258693,1296410,722716,715258
19,754202,1187367,79388,95740,840065,495512,688498,913509,904262,508187,1204549,336523,18487,227413,641297
20,326261,312802,1338364,561025,1191916,1160303,4478,999575,1317770,1282906,1027419,253683,519720,1113778,12937
21,319260,458936,1163063,326043,718377,472452,1004584,589638,248382,682891,1462893,419433,612187,875061,67967
