,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10
0,63527,884714,1341126,167198,382653,460962,77937,127050,1318101,227786,69226
1,870294,1205046,637222,1373738,755002,807376,329482,271495,192483,194783,1235115
2,1226018,1390272,1327513,1166216,607729,691739,1128572,58299,32010,785853,1272459
3,362542,767523,492590,266366,984129,790965,1361407,732570,245603,82306,1424751
4,1326834,1119712,433102,482475,49873,793135,826311,560129,444781,491470,1282387
5,619675,1042539,467189,164950,96996,354950,893757,872483,525760,434243,60308
6,739785,532611,995565,335331,1387925,568092,633765,977925,1391679,1167072,743043
7,696110,1106173,1361182,552885,459760,1326710,116196,1420531,6524,693813,85716
8,706007,1279608,262811,256081,570374,1033595,915802,1012382,1075254,1356072,529451
9,321246,1297954,1154891,319141,699169,769006,67765,120944,1426442,250948,633044
10,1281999,239282,855525,434696,676032,1402552,724371,271524,1121178,1128146,781985
11,1380240,894741,790180,404725,242800,1329339,404087,189177,85698,442999,1209264
12,495512,1206803,403396,155824,27138,616319,223665,1110257,1246013,1394816,47796
13,390672,249186,103697,1313527,553800,803645,1153604,1421192,1268773,118768,254019
14,434448,271404,611282,536570,1064050,375549,1443861,1125960,694606,647349,79976
15,285686,671509,1290463,786639,795683,670158,1066390,912827,94531,575506,1005246
16,1373193,378900,231496,1214409,1384699,686224,190486,870167,1403474,575184,1238450
17,1071137,1054797,222301,818560,1177633,636378,1148817,899890,645208,662368,784907
18,753874,648108,760015,1355676,1116388,1195684,411835,533649,134746,612598,1037569
19,497333,1338301,924121,1146903,1051711,348734,240477,1450152,713387,1004378,161705
20,1034188,436892,353748,492439,1293897,434812,512557,1397312,696839,1152697,1056166
21,450438,1007627,966766,581710,1177925,900732,644904,1036970,1161633,179596,541516
22,677133,29303,74084,951318,1029797,1243199,1216732,1348714,1470213,1208542,207499
23,195780,1356008,1304459,752723,1081222,1196244,1295753,535877,589713,343393,300237
24,669186,299476,1402464,524438,675873,1276334,202120,456713,27290,270341,484886
25,1054283,171148,844977,728903,823629,439874,1040722,1138637,680947,375761,1267035
26,19840,41035,346255,1289037,615026,780374,8583,265574,447986,67526,666154
27,886440,925199,1265364,235359,1141180,120452,970988,747083,30479,506877,446803
28,1317152,670543,484428,797009,1315579,963468,393296,786319,540628,248264,623323
29,947082,1362459,1172411,908847,1219546,944416,1272080,205020,140123,606558,644641
30,350649,521613,335621,1434881,639044,1360535,898369,1198900,1367459,1175820,316759
31,1116578,401248,251158,1310984,1004750,1336168,55392,243976,786706,392577,1226414
32,1274964,558769,1157194,536640,109706,1262087,39228,799160,93848,86012,664928
33,451020,1395034,1254370,136458,1467990,576466,1067486,77640,1065277,555662,1279568
34,92588,874863,143040,1131372,858629,929098,1453187,883214,1228575,750259,1037589
35,272602,1467947,412948,44671,1089918,1310676,997176,1189270,1434303,1094347,800120
36,724547,199143,572810,270261,949579,386800,616880,1366983,1202295,938207,1159806
37,894035,449149,282133,316978,171429,679615,664019,432044,744763,1303265,858110
38,176607,446281,1090544,648039,963666,288215,1042896,393397,498864,42648,1222164
39,1147328,1167440,1267574,1287448,1013729,1348067,296197,977545,53459,320857,63852
40,524697,986482,401281,896971,68133,898870,1238164,179122,702418,984427,1423772
41,1178182,1076759,147584,581939,1241129,1068942,870940,979400,20902,1393416,1451597
42,14324,1188348,683133,747157,450924,309641,451236,1418216,1070824,509987,748932
43,414293,958274,174629,1325439,527667,818871,394917,527216,827794,874045,225286
44,696791,639543,852003,1025435,1159839,604168,1038584,271415,950827,59291,728201
45,338121,526254,20377,484321,355154,924709,560733,448472,343145,1189642,263205
46,265316,106877,1057917,1450345,372940,816387,75249,1093879,1463006,648631,1097374
47,553500,1460450,343256,300777,832859,839931,839541,576848,1025741,575605,386552
48,1422972,1087941,822286,1262403,1387028,852185,674257,23552,81288,513743,629195
49,1040147,863350,531258,491309,1133169,1121882,1316594,806352,582621,395954,23134
50,994981,205084,112841,901736,1385366,881571,1460474,1211581,809703,394999,1306695
51,203137,355776,916768,666410,1100539,595747,191761,549246,1214279,800482,1226674
52,438653,518419,1034396,44740,1327151,544362,357501,465679,1038881,232791,747784
53,900263,1276682,1102073,359710,131634,404541,892920,62205,817288,1188010,1449606
54,1034656,1197927,1074382,542700,60920,540325,775954,421676,1262716,857255,630938
55,1128751,588354,154315,1347550,1285061,952520,166453,675941,1047098,88727,391256
56,442258,652060,289423,714717,1049459,694335,158224,710815,67082,466944,1143673
57,1144431,409143,1361094,453000,1327776,42701,1182870,113522,92476,592389,278068
58,281557,68296,443077,196985,201601,714178,1253707,233665,458391,445533,330843
59,1315705,638414,1394653,41247,107149,982529,545943,318738,231754,1150811,72684
60,1424404,1435473,964566,1464376,131163,682837,1107379,1101300,1031365,272565,389107
61,823630,572481,338123,358647,575392,1329565,591414,975255,553415,594366,101550
62,1093346,198337,1273591,787025,1469239,629864,421810,998117,215868,961115,144148
63,349623,631937,592198,426434,1166020,926769,979817,611618,927959,1304572,595087
64,288073,88296,167277,265654,1028324,851263,622775,602294,476116,1354252,780800
65,767147,1293810,1441915,1264407,792569,1069715,214841,457868,680221,9590,1323067
66,144671,1111325,434008,1036552,194473,1086516,1162417,467857,777619,484051,1061180
67,523658,1433313,299336,731215,294133,483791,1438469,1317908,14037,678745,680343
68,1404490,260391,974580,1407635,1137147,697321,816952,461284,748381,1155702,1064884
69,885180,584487,978017,1323088,350263,1466494,179409,542051,1302514,152563,1072256
70,1279412,801619,549861,121429,22343,137557,195964,560071,1332548,573977,450563
71,1195035,975983,349509,928937,961982,18454,1413936,646292,374546,1240947,1069442
72,285839,517628,323610,81389,235304,239368,43167,530812,1393517,1060404,434735
73,1359898,411350,120403,90746,1044591,754267,883122,344579,1455943,98523,1454689
74,637808,1237124,556044,476147,303547,196287,261382,1154568,217700,240701,1267795
75,1062241,285882,21873,901337,1149160,953104,1042928,81724,1317471,1122059,1182847
76,59841,1415622,975354,1001540,1397968,842061,595594,41584,1462144,993695,1435233
77,287057,726508,739870,548581,190088,662187,1454906,583485,990979,1130845,1326563
78,962675,223,1243764,578319,143063,262908,1019259,821122,1141096,1081615,794909
79,714119,1217118,1449269,57144,672040,774285,1201833,1447789,933196,682242,1395749
80,256313,389579,272644,1293363,485384,212588,746665,742543,1172270,1200903,595072
81,1096857,210981,1259914,184862,1361674,753985,1302602,113878,1105654,1089805,1041761
82,576006,774987,1402642,1390803,1305118,1456079,504676,115627,76180,547106,62887
83,1360454,1287553,910019,482590,962737,197322,366317,782395,1124768,63639,372998
84,517571,955953,49826,991827,1086552,454971,1355405,169227,31671,182550,70627
85,780971,658001,390530,282905,842773,110529,998641,1027541,1069891,520810,271549
86,1055406,456583,969878,207559,1121939,204986,1290374,236644,678780,602645,471016
87,720898,193858,55966,189596,589054,369917,1061560,1411294,1237641,68992,538171
88,1257290,626536,327199,272801,601444,416405,222113,935444,90810,1258389,896755
89,567263,1405754,542758,1046819,573558,1359361,562256,1064198,205675,149964,164672
90,301437,280259,189518,1195229,1285636,221645,115053,897303,353846,386006,661123
91,214776,495811,925791,1393672,641337,686861,611520,782695,239564,552663,839603
92,264744,790953,1441389,275811,486390,761537,1074586,644414,548068,93888,1315064
93,392858,499439,721223,1071562,922623,1193803,447084,1167555,389181,1367146,1062407
94,74582,364499,1331822,745382,1269956,1108309,373705,999496,46181,521282,1377006
95,190432,124348,884618,931570,111034,677512,387544,1135281,793059,920974,79672
96,119101,26251,1471721,433933,345920,1008625,271516,8630,91518,683504,817315
97,430401,932489,669581,1314861,946837,635713,1129911,84317,1288572,1194203,1444265
