,iter0,iter1,iter2,iter3,iter4,iter5
0,693014,514671,679483,164441,69252,620734
1,429180,636284,241191,665154,122816,99897
2,217583,383532,25478,670090,316785,700572
3,496112,700199,471631,152345,350394,698010
4,60243,600766,81702,351324,719216,8932
5,30609,63661,615402,296549,431176,613801
6,441205,667035,531297,381080,59816,123467
7,149326,590207,511663,489717,434581,42156
8,141396,630130,414672,152714,336362,301948
9,127648,282129,746397,155411,395122,663601
10,403112,251349,738195,569806,713237,356657
11,93040,232112,530341,319222,170265,29002
12,302522,470587,395789,686669,667832,736529
13,385687,546340,193019,432154,26087,604889
14,696168,385347,560746,166037,279734,214407
15,366823,83418,462727,309018,172508,477514
16,46320,523457,482780,664987,329455,737191
17,69970,461181,413757,94160,307664,195482
18,253623,436541,689831,278180,153185,118666
19,219178,409023,23844,622981,102350,278504
20,728224,161691,630572,171597,367835,7422
21,323787,1474,686666,310316,614469,77852
22,206027,282682,335133,530741,616686,172371
23,272412,711853,22593,158983,592520,228437
24,365424,186490,496754,419241,13707,713212
25,621489,593318,566432,70063,356591,504448
26,658596,640495,372838,719797,643294,645517
27,526418,89753,422398,210179,470480,676654
28,233435,170654,358089,667539,194210,21423
29,655885,655823,554236,328038,566073,75025
30,377380,107173,212401,461947,53969,299881
31,410649,117114,589458,466502,409678,729704
32,370624,744123,90908,621591,328546,376618
33,26787,722422,614984,563734,471846,468957
34,276289,144951,41885,673666,299771,512247
35,620479,185416,666072,104305,604079,599680
36,47145,490106,419088,337969,551282,423045
37,441647,326372,632372,267032,585869,541483
38,199264,119405,342861,535591,3610,120396
39,175555,381212,702630,40157,573451,274894
40,403941,82909,475176,462721,217850,114314
41,211141,275888,479623,288864,26739,503549
42,612658,149065,53476,575229,372455,157891
43,158034,538469,119917,554056,331433,113327
44,228604,129984,644995,464448,173463,733262
45,480427,740179,456132,468897,409202,164998
46,205485,117102,238711,139645,657519,238317
47,196836,545016,590688,636906,364253,323886
48,617773,194452,556737,243027,564040,75893
49,147047,384913,578484,115507,657163,298501
50,649470,223055,677475,177819,317525,4416
51,58244,41671,497859,612888,201750,371093
52,738470,586760,586172,619376,660396,703446
53,470695,34011,328892,392235,643388,664603
54,354203,187074,380427,174516,96463,48364
55,558536,523823,387645,75609,674544,547785
56,366624,622016,664090,114767,425291,243121
57,533242,116515,74352,195160,429562,40611
58,301008,410584,689648,438528,107438,329357
59,522329,244467,509308,190536,68795,28482
60,709557,57364,424964,660465,22330,394647
61,416039,13224,277819,85670,231176,146705
62,354619,389512,135069,194768,10843,354127
63,6207,167435,554987,391006,106005,452696
64,724509,715864,417691,59547,392305,427726
65,16468,124398,601988,246450,593724,304161
66,112761,714138,202495,499262,453157,334197
67,115250,745421,28913,667350,53273,608729
68,77657,105087,89384,231607,320350,247651
69,626098,569916,572741,723241,104074,204532
70,416394,431016,498352,538337,572075,475920
71,570546,559139,378050,443164,212841,31588
72,486371,521891,64309,435678,400390,194772
73,351858,664171,190579,27789,657384,200007
74,528126,669743,577112,544140,476782,564373
75,280281,524602,121998,287307,614044,277788
76,502299,553386,467004,333300,272899,124371
77,736128,330045,29836,316746,445045,92718
78,620075,691144,164656,664306,725169,177905
79,722282,168823,217029,225069,570261,689738
80,668206,414995,675048,300991,375029,276568
81,70169,264566,59760,421683,336555,184468
82,325273,701337,535816,558702,3283,524997
83,296352,115249,395875,250817,492759,669992
84,595827,572378,239183,558826,716629,369180
85,735292,656453,338647,324836,192027,208903
86,351936,459326,97300,85698,112912,438756
87,360018,664149,383858,545301,170117,298105
88,172553,548316,663713,433262,570577,430633
89,369555,541121,537234,407735,290569,665125
90,514683,513007,220890,397556,160632,20716
91,632693,711147,395871,670153,748121,403255
92,336569,470605,699476,295406,419343,96218
93,165312,614567,22268,475719,281541,546196
94,290702,415837,396808,522282,379994,207562
95,105749,136079,351736,220500,497860,495874
96,499209,249635,109845,562328,739688,261024
97,330681,266098,387579,28670,27457,471904
98,401242,182692,132319,420507,243711,450316
99,700990,378804,581819,612664,562734,572126
100,532991,67621,351754,705146,529636,650792
101,673457,707014,402468,206361,140541,28107
102,229113,677046,266591,610443,262916,374123
103,74219,700380,185029,5579,230815,383110
104,676143,623091,641308,452471,436063,567019
105,433842,393555,435796,621188,8253,43251
106,34954,579775,452179,538358,165867,243875
107,50682,440166,85457,529173,459057,638352
108,154968,369560,92056,292584,653466,47293
109,215138,474215,463561,143736,231090,547876
110,463477,51878,570894,446517,393216,516037
111,160467,710879,346173,570464,592053,482791
112,678224,7450,516991,680150,615885,597031
113,326227,637038,37581,407440,267124,615948
114,688759,164670,445066,556247,482357,70137
115,587266,420944,351450,550486,599821,151356
116,308658,128643,286376,55962,591372,106022
117,615220,702756,408180,193441,177249,698430
118,601141,786,97443,68370,88448,698227
119,39467,288101,134731,127396,426383,734035
120,94984,215857,286875,100937,9277,338706
121,265637,641944,665973,314901,294284,468693
122,283655,167472,636184,155280,326126,581420
123,366306,154691,154038,42957,591248,605336
124,558733,265036,532462,692058,108007,408580
125,317356,709422,538011,396468,503637,108419
126,175091,641047,180372,390491,191039,183411
127,608701,14650,723973,17189,350704,444855
128,241134,373554,88632,110382,88076,387126
129,685537,574827,575297,196361,204236,703242
130,173875,258933,441948,656780,379758,140919
131,59173,587456,172941,487544,360033,160288
132,482631,503771,474535,256647,494203,38240
133,563476,436708,431931,81181,216316,302624
134,63983,509251,262154,391486,684681,667554
135,48912,101728,293826,224994,209994,555024
136,285618,390215,288642,434243,332838,2046
137,739445,350663,400358,711186,655450,682222
138,521259,420825,440264,190151,434208,462748
139,597510,697026,373452,494518,460309,92068
140,358618,137050,270907,171243,720030,343212
141,272274,433919,396537,102717,319100,14322
142,243525,546018,305437,22715,57226,184673
143,487476,357010,663007,59686,467001,456754
144,386864,230514,519662,59731,61275,293053
145,469038,387935,85682,139851,189336,237861
146,147072,510273,152601,119076,68613,609982
147,209494,143615,552750,614697,150092,191573
148,318254,397859,679634,418758,636913,217174
149,383988,191496,24224,250666,737861,747991
150,612463,672526,246937,187130,705029,399185
