,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20
0,293925,701559,354791,114328,41668,440605,9193,658045,433045,568704,232518,689778,691054,206089,376465,452426,702238,480867,661642,331815,455526
1,416853,623520,28472,276449,484452,553405,406092,62108,35105,107587,118399,436421,6874,196008,243967,356849,199931,195991,128985,702969,278126
2,627531,526085,246428,34075,66310,541860,665230,674147,41591,320521,120131,48153,608652,14624,558248,407517,453850,707282,257096,82190,370325
3,207360,406243,306499,465152,69740,369633,311650,568264,53812,188151,379941,34980,330650,482499,710833,673988,547794,388503,576112,647950,582364
4,402072,47971,82135,347455,70574,213747,468769,145471,161230,646302,251955,517107,570381,398410,50493,718902,271878,141566,266782,16674,402448
5,60400,631365,493364,222540,246442,690008,299043,342694,282726,101401,332097,361991,11835,200277,520774,531716,465374,122555,609969,513735,685504
6,219418,255672,446984,688420,456553,570259,280902,278231,596540,254099,132239,122250,701706,201897,634722,205280,558026,708405,307271,198028,511712
7,145250,258727,720580,296211,136426,293513,126174,292005,145155,461416,163742,452090,250182,507359,357704,432484,118686,125234,615,67207,32865
8,27867,328118,476710,62747,694049,180346,290325,332747,267767,60125,463516,224551,516574,31221,326668,673749,53504,18903,454376,684045,452880
9,535271,346609,286889,472392,4925,348877,622690,716923,39822,604992,207854,240589,242414,621234,494663,622192,488296,104868,50475,248654,675671
10,24977,257761,62443,287966,7131,509496,374608,106701,7092,80294,663237,317330,261281,679917,283898,618860,59300,549959,137594,148939,265171
11,97760,640712,216351,663838,690396,637514,713666,306472,697977,599851,495247,101158,487752,323109,243133,540518,261313,661759,351533,458453,84912
12,274168,622698,433859,524249,262574,668896,710777,297765,298658,392884,714595,149323,470191,633395,474278,614719,464719,122714,365583,187292,613369
13,346086,36179,680800,183931,218915,29365,570845,220374,427869,575402,633564,221369,175155,435938,105937,334469,310536,539731,385459,521401,71545
14,335229,353906,580020,483949,393167,302665,504334,22758,183860,449009,221122,99366,157312,211978,158817,219690,419066,103629,98652,177250,602155
15,433771,610826,365795,269487,636170,102004,377963,297231,346877,480361,227485,454472,152062,3803,216337,443126,678252,580663,9515,654039,6895
16,169537,352266,547677,98045,692324,284663,528397,567107,176689,696324,721198,219134,522585,201332,529797,173896,26418,46311,721995,512721,385464
17,567729,396171,260214,223432,87658,354102,696982,480455,224106,610367,484430,140781,256192,471308,184619,38179,387419,103930,551973,583229,253632
18,330175,579597,601322,545006,485615,236296,707688,427704,486123,633976,256973,236959,376478,233483,10800,153122,598112,211278,285465,602639,271041
19,645715,488521,273632,156064,634483,113136,610661,718998,215595,569977,202983,485782,695749,416224,628802,239727,387294,166041,608387,427734,655519
20,614553,66843,3122,463651,322095,180364,456409,550625,200584,148119,505731,338987,125796,373223,377459,616237,286825,667762,374924,290228,172292
21,536478,369003,199208,55902,98139,209446,482935,559659,693073,224485,287011,442975,145718,370140,309084,547246,455751,56045,637698,691950,345986
22,410771,722757,46981,82782,631302,224656,146348,338690,483407,659795,97342,214961,588233,42248,479817,376755,118053,300501,532949,427004,588909
23,330865,704471,626610,642289,530607,346552,714041,441477,66477,609761,582551,276918,654347,116086,124496,410898,672983,23804,51301,248980,371453
24,370612,444834,432298,651860,246733,549324,713513,351106,280890,357036,35740,403061,576777,71612,338397,695166,428363,261942,55309,517489,543482
25,483519,497164,638401,65764,82591,414163,617350,412222,253653,383369,20415,357007,503688,494007,639527,143993,294769,478244,59515,250585,313334
26,138528,336401,268392,689559,222256,251805,471968,231637,574244,497420,223017,146841,41411,313452,34765,176881,163712,657601,525191,290548,415015
27,240445,121682,519211,251001,543693,571032,663212,381723,569787,617637,297018,83580,161422,193062,103693,506627,570303,681653,689115,493759,62822
28,65979,715799,420459,628607,260186,573098,152693,479445,496831,652181,477677,183557,288969,185002,553504,295750,81182,100795,53820,286178,120257
29,700692,48404,286793,62593,674707,436226,397425,366970,256906,202101,358424,450582,609569,134932,686982,454260,666001,627146,234041,151539,5844
30,21600,504180,716438,109883,17512,367966,285979,142996,416460,267874,635178,660840,586361,623949,484,300525,227920,667102,290367,704758,504514
31,679522,474791,581567,506364,110661,660435,550018,372251,557860,664144,675606,480741,325592,520930,79820,470162,238944,649978,91360,339484,276507
32,393667,25865,369877,240928,722207,704513,104361,193866,297907,661764,495785,365295,681127,490766,99607,654352,162522,147937,101283,85593,368202
33,464558,359575,535904,418169,183699,307658,39290,103696,38501,360775,435,139371,516262,605206,702645,435315,660396,350171,47129,465818,44437
34,559954,586570,387635,453135,636918,268260,4761,115679,1836,439049,40130,666967,443489,183722,346796,578466,123100,4174,293804,380138,363393
35,227873,496702,376203,361232,460834,344634,305091,664731,456985,601212,81855,212615,190775,334387,579448,290635,456531,428706,540690,666659,86713
36,670894,662179,246041,44884,377271,189243,627320,653,693582,290215,364447,546058,580440,474299,50460,660583,203225,300508,616928,522202,390633
