,iter0,iter1,iter2,iter3,iter4,iter5,iter6
0,90225,399526,670878,459501,595695,147484,230559
1,630644,38932,206591,309289,121091,608495,574573
2,693477,335837,39766,701078,574785,299265,585092
3,621243,323643,279743,36074,272455,347711,236270
4,427320,194692,444490,136278,151301,553451,582213
5,268831,363821,213081,525375,334481,627578,584419
6,355431,309679,477164,325918,447173,579624,686108
7,546237,273115,692062,660944,605268,108721,246475
8,701800,177768,369200,656814,153406,73760,605668
9,266985,90860,704564,429127,58282,564122,322931
10,186991,212343,478464,249479,479760,202728,578027
11,222066,204085,192195,155052,645302,257343,496583
12,589114,662745,283972,228065,84038,446965,508185
13,386200,115139,534675,417038,112434,169300,436638
14,541421,249648,170536,597949,103449,229587,202330
15,330842,539929,33195,405236,92761,369802,536120
16,386368,398102,270212,263995,70814,169361,102681
17,611522,86076,218570,364008,163719,692203,646328
18,529291,199269,160738,462439,244283,697567,159138
19,635042,303439,396657,53331,315439,268901,111042
20,552617,696968,490402,501982,297904,557265,559033
21,571257,676358,300837,628958,539666,500546,416429
22,192581,244710,262702,611006,270100,262412,675080
23,591911,541612,162943,380063,140051,520977,409211
24,187907,422492,328708,669530,18776,133382,150540
25,528625,511783,572884,490945,238488,530687,719215
26,364415,504811,498919,189957,336986,602736,361666
27,168375,533211,529316,640963,302332,536693,618283
28,688669,686316,115887,719692,688544,503777,273151
29,97674,705717,589562,589872,156741,445763,252791
30,32058,91769,144090,685096,127803,71204,525181
31,263152,143870,622554,148632,383731,305669,598407
32,345677,584455,110257,509533,55417,477015,502268
33,243345,188548,303844,675956,513012,167451,465015
34,653952,553600,693248,206444,562024,541393,19534
35,613300,365410,532761,200825,26988,152594,706668
36,588993,462484,187224,141127,553982,61663,629513
37,526908,196891,247415,387296,517704,489482,22970
38,489622,105372,606813,507267,176685,279428,497799
39,573518,221444,386909,43987,716791,373898,680941
40,639932,541030,612299,69532,466167,72829,321425
41,291445,403527,469763,472131,489642,554226,546510
42,496436,51174,312815,589657,714018,622061,417957
43,151784,191374,120675,639994,140094,661578,696945
44,564228,409623,540381,176014,296431,693034,347232
45,347438,410305,360457,642825,286481,456706,19241
46,453962,80592,502776,684044,524749,457752,284913
47,263695,202780,71996,587419,496469,282127,62748
48,316547,26333,531946,136020,601397,225037,156019
49,514985,353042,381569,417738,647712,599569,56052
50,199146,661573,386433,529897,644667,243283,211162
51,146479,330894,625352,464854,121115,526493,338932
