,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7
0,402342,715125,60632,314108,150413,396676,293178,571414
1,183401,394368,55780,182040,669179,606544,565918,187591
2,69967,217612,633111,248566,21575,122320,370709,505728
3,483249,352407,289223,385412,692895,533625,473023,23558
4,320795,611725,370927,691236,465573,470353,233683,591692
5,358984,453018,389559,658262,42694,147928,27015,434972
6,3217,195463,185561,595107,87089,662605,124417,637531
7,693725,625889,67242,609733,426202,297551,606898,345793
8,481294,132637,328831,660813,203342,245089,618865,59194
9,6434,704174,413091,116005,457606,719496,607654,266533
10,127355,39002,447043,66642,149889,614974,390037,601151
11,543762,309352,203794,471018,118114,87086,478372,25213
12,90857,486955,573687,133879,398402,203590,588646,696870
13,263498,96861,39520,696882,15812,619575,620730,513604
14,546158,40570,76609,157786,306713,690881,363850,331102
15,76490,95525,640724,659792,511928,418661,430729,99154
16,613724,72461,462214,265873,110470,280034,300102,567882
17,719126,627837,492454,221034,169905,277474,320446,34874
18,293961,346901,216889,444234,63306,520533,476335,335741
19,64656,571669,90966,411203,464449,435834,153195,145519
20,539115,386053,304259,55241,218436,39039,292258,346784
21,233868,372279,289170,67922,27375,79280,154067,502810
22,350416,258656,25359,125216,245143,498698,650373,92599
23,336346,536872,610437,338842,582408,53277,205206,629047
24,285733,413326,540483,307810,86489,580505,358281,589616
25,252732,285543,318513,584470,104386,682052,502998,598889
26,154737,75494,41041,666029,369893,517983,95493,418529
27,311766,224936,383861,211098,358095,342181,372996,434044
28,587385,303789,496182,405965,453761,603332,595070,592863
29,423932,680762,100088,40934,487342,376225,296596,239460
30,25708,696816,641085,207275,210973,208580,275437,586159
31,578346,637246,27594,441168,622024,393195,124897,436876
32,72706,480760,254031,638565,231724,693420,252833,7169
33,145346,90639,603635,228467,394581,408381,137381,637538
34,605785,569128,576337,415128,375894,28161,257325,218099
35,684538,343264,164162,636332,16421,530783,619471,295014
36,278779,442644,315710,405675,268938,284876,127061,404523
37,77452,386877,109029,550078,626056,694156,291006,57604
38,79371,668375,521993,335203,114802,113627,36110,656092
39,227042,187273,715679,272817,154991,294381,625414,134156
40,608993,398206,194168,477009,216570,438388,129576,672973
41,537454,646258,493462,472962,579171,549731,577108,377896
42,539924,144460,35964,356548,425247,37826,177801,133459
43,71391,292600,624784,474354,260377,257853,394116,433841
44,393438,622175,554286,428853,411184,510216,567815,331920
45,704823,230270,632721,311554,392521,586548,82572,653231
46,129970,264779,551290,1825,406080,379225,322685,212565
47,251351,490803,137818,570614,231836,501546,453186,246703
48,196696,508441,11298,315597,572777,37761,324967,69951
49,702364,269008,216321,97935,292799,156559,121680,67667
50,59143,413663,10266,96768,528859,566579,78934,136024
51,659887,34099,432308,700959,486584,379363,630074,386164
52,213793,658373,262583,489629,152051,697800,564104,85299
